Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun);Sampah Terkelola Tahunan (ton/tahun)
2022;Sulawesi Tenggara;Kota Kendari;98.477;91.857
2022;Sulawesi Tenggara;Kota Bau Bau;29.923;29.565
2022;Gorontalo;Kab. Gorontalo;57.763;8.106
2022;Gorontalo;Kab. Bone Bolango;18.199;6.159
2022;Gorontalo;Kab. Pohuwato;21.563;12.991
2022;Gorontalo;Kota Gorontalo;51.647;49.290
2022;Sulawesi Barat;Kab. Mamuju;51.438;240.343
2022;Sulawesi Barat;Kab. Majene;25.899;12.005
2022;Sulawesi Barat;Kab. Mamuju Tengah;20.057;4.745
2022;Maluku;Kab. Maluku Tengah;62.011;4.781
2022;Maluku;Kab. Buru Selatan;11.355;8.440
2022;Maluku Utara;Kab. Halmahera Utara;50.497;12.750
2022;Maluku Utara;Kota Tidore Kepulauan;16.904;12.665
2022;Papua;Kab. Jayapura;31.360;29.515
2022;Papua;Kab. Kepulauan Yapen;16.780;15.940
2022;Papua;Kab. Biak Numfor;21.435;18.755
2022;Papua;Kab. Sarmi;6.110;2.168
2022;Papua;Kab. Waropen;5.285;2.193
2022;Papua;Kota Jayapura;79.528;66.651
2022;Papua Barat;Kab. Manokwari;59.628;41.227
2022;Papua Barat;Kab. Teluk Wondama;6.697;2.132
2022;Papua Barat;Kab. Kaimana;9.290;4.609
2022;Papua Selatan;Kab. Merauke;33.924;14.108
2022;Papua Selatan;Kab. Boven Digoel;9.518;2.154
2022;Papua Selatan;Kab. Asmat;16.624;3.464
2022;Papua Tengah;Kab. Mimika;57.742;29.902
2022;Papua Barat Daya;Kab. Sorong;18.163;6.523
2021;Aceh;Kab. Aceh Selatan;34.527;12.811
2021;Aceh;Kab. Gayo Lues;14.757;9.685
2021;Aceh;Kota Banda Aceh;90.766;88.800
2021;Aceh;Kota Sabang;6.142;5.871
2021;Aceh;Kota Langsa;33.883;28.172
2021;Aceh;Kota Subulussalam;16.529;14.600
2021;Sumatera Utara;Kab. Tapanuli Tengah;66.645;12.208
2021;Sumatera Utara;Kab. Tapanuli Utara;46.799;25.577
2021;Sumatera Utara;Kab. Langkat;189.686;32.735
2021;Sumatera Utara;Kab. Karo;82.782;29.217
2021;Sumatera Utara;Kab. Deli Serdang;408.130;197.896
2021;Sumatera Utara;Kab. Simalungun;189.457;122.538
2021;Sumatera Utara;Kab. Asahan;170.300;24.130
2021;Sumatera Utara;Kab. Toba;31.171;13.808
2021;Sumatera Utara;Kota Medan;645.013;393.891
2021;Sumatera Utara;Kota Pematang Siantar;85.052;81.101
2021;Sumatera Utara;Kota Tebing Tinggi;45.078;42.408
2021;Sumatera Barat;Kab. Pesisir Selatan;55.234;22.707
2021;Sumatera Barat;Kab. Tanah Datar;46.807;24.133
2021;Sumatera Barat;Kab. Agam;78.413;20.545
2021;Sumatera Barat;Kab. Lima Puluh Kota;56.295;16.951
2021;Sumatera Barat;Kab. Pasaman;44.253;14.989
2021;Sumatera Barat;Kab. Dharmasraya;37.412;33.692
2021;Sumatera Barat;Kab. Solok Selatan;26.988;5.143
2021;Sumatera Barat;Kota Padang;233.386;695.320
2021;Sumatera Barat;Kota Solok;19.663;19.592
2021;Sumatera Barat;Kota Sawahlunto;6.844;6.516
2021;Sumatera Barat;Kota Padang Panjang;17.519;16.992
2021;Sumatera Barat;Kota Payakumbuh;36.063;35.915
2021;Riau;Kab. Indragiri Hilir;168.125;23.414
2021;Riau;Kab. Siak;69.740;53.942
2021;Riau;Kota Pekanbaru;353.134;286.223
2021;Riau;Kota Dumai;59.030;56.927
2021;Jambi;Kab. Merangin;72.545;52.126
2021;Jambi;Kab. Bungo;56.722;40.585
